,spnsi,speci,GM,f1,AUC
MM/MM-BP.csv,75.0,66.6,70.7,79.0,72.4
MM/MM-CC.csv,12.5,64.9,28.5,77.1,38.7
MM/MM-MF.csv,69.0,68.6,68.8,78.8,68.8
MM/MM-BPCC.csv,50.0,65.7,57.3,78.8,60.4
MM/MM-BPMF.csv,66.7,66.3,66.5,79.1,69.3
MM/MM-CCMF.csv,16.7,65.1,32.9,77.6,40.8
MM/MM-BPCCMF.csv,50.0,65.7,57.3,78.8,61.6
CE/CE-BP.csv,69.3,58.6,63.7,22.8,63.9
CE/CE-CC.csv,68.9,52.7,60.2,20.5,60.8
CE/CE-MF.csv,68.6,49.2,58.1,20.8,58.9
CE/CE-BPCC.csv,69.5,57.3,63.1,24.1,63.4
CE/CE-BPMF.csv,68.9,54.1,61.0,19.4,61.5
CE/CE-CCMF.csv,68.3,48.3,57.4,16.7,58.3
CE/CE-BPCCMF.csv,70.5,64.8,67.6,29.4,67.7
DM/DM-BP.csv,65.0,64.4,64.7,77.8,66.1
DM/DM-CC.csv,54.4,64.9,59.4,76.0,59.7
DM/DM-MF.csv,50.4,64.2,56.9,75.8,57.3
DM/DM-BPCC.csv,72.2,64.5,68.3,77.6,68.4
DM/DM-BPMF.csv,50.0,63.7,56.4,76.8,57.3
DM/DM-CCMF.csv,47.1,66.1,55.8,74.6,56.6
DM/DM-BPCCMF.csv,80.6,65.0,72.4,78.2,72.8
SC/SC-BP.csv,87.6,66.7,76.4,7.2,77.4
SC/SC-CC.csv,87.6,33.3,54.0,6.8,60.5
SC/SC-MF.csv,87.9,66.7,76.5,11.0,77.3
SC/SC-BPCC.csv,87.7,100.0,93.6,7.0,93.6
SC/SC-BPMF.csv,87.9,75.0,81.2,11.1,82.0
SC/SC-CCMF.csv,88.1,66.7,76.6,13.6,77.6
SC/SC-BPCCMF.csv,0.0,0.0,0.0,0.0,0.0
